Tempo(s);$\Delta P_{12}$_fil_1;$\Delta P_{12}$_fil_2
0.069945109781969;0.6099999999999999;0.7400000000000002
0.2699451097790586;0.6099999999999999;0.7400000000000002
0.46994510977614823;0.6099999999999999;0.7400000000000002
0.6699451097805138;0.6099999999999999;0.7400000000000002
0.8699451097776034;0.6099999999999999;0.7400000000000002
1.069945109781969;0.6099999999999999;0.7400000000000002
1.2699451097790586;0.6099999999999999;0.7400000000000002
1.4699451097761482;0.6099999999999999;0.7400000000000002
1.6699451097805138;0.6099999999999999;0.7400000000000002
1.8699451097776034;0.6200000000000001;0.7400000000000002
2.069945109781969;0.6200000000000001;0.7400000000000002
2.2699451097790586;0.6200000000000001;0.7400000000000002
2.4699451097761482;0.6099999999999999;0.7400000000000002
2.669945109780514;0.6099999999999999;0.7400000000000002
2.8699451097776034;0.6099999999999999;0.7400000000000002
3.069945109781969;0.6099999999999999;0.7400000000000002
3.2699451097790586;0.6099999999999999;0.7400000000000002
3.4699451097761482;0.6099999999999999;0.7400000000000002
3.669945109780514;0.6099999999999999;0.7400000000000002
3.8699451097776034;0.6099999999999999;0.7400000000000002
4.069945109781969;0.6099999999999999;0.7400000000000002
4.269945109779059;0.6099999999999999;0.7400000000000002
4.469945109776148;0.6099999999999999;0.7400000000000002
4.669945109780514;0.6099999999999999;0.73
4.869945109777603;0.6200000000000001;0.73
5.069945109781969;0.6200000000000001;0.7399999999999998
5.269945109779059;0.6200000000000001;0.73
5.469945109776148;0.6200000000000001;0.73
5.669945109780514;0.6099999999999999;0.7399999999999998
5.869945109777603;0.6099999999999999;0.7399999999999998
6.069945109781969;0.6099999999999999;0.7399999999999998
6.269945109779059;0.6200000000000001;0.7399999999999998
6.469945109776148;0.6199999999999999;0.7399999999999998
6.669945109780514;0.6300000000000001;0.73
6.869945109777603;0.6199999999999999;0.7399999999999998
7.069945109781969;0.6199999999999999;0.7399999999999998
7.269945109779059;0.6199999999999999;0.73
7.469945109776148;0.6099999999999999;0.73
7.669945109780514;0.6099999999999999;0.73
7.869945109777603;0.6099999999999999;0.73
8.069945109781969;0.6099999999999999;0.73
8.269945109779059;0.6099999999999999;0.73
8.469945109776148;0.6099999999999999;0.73
8.669945109780514;0.6199999999999999;0.73
8.869945109777603;0.6199999999999999;0.73
9.069945109781969;0.6199999999999999;0.73
9.269945109779059;0.6199999999999999;0.73
9.469945109776148;0.6099999999999999;0.73
9.669945109780514;0.6099999999999999;0.73
9.869945109777603;0.6099999999999999;0.74
10.069945109781969;0.6099999999999999;0.74
10.269945109779059;0.6199999999999999;0.73
10.469945109776148;0.6099999999999999;0.7299999999999998
10.669945109780514;0.6099999999999999;0.7299999999999998
10.869945109777603;0.6099999999999999;0.7299999999999998
11.069945109781969;0.6099999999999999;0.7299999999999998
11.269945109779059;0.6099999999999999;0.7299999999999998
11.469945109776148;0.6099999999999999;0.7299999999999998
11.669945109780514;0.6099999999999999;0.7299999999999998
11.869945109777603;0.6099999999999999;0.7299999999999998
12.069945109781969;0.6099999999999999;0.7299999999999998
12.269945109779059;0.6199999999999999;0.7299999999999998
12.469945109776148;0.6099999999999999;0.7299999999999998
12.669945109780514;0.6099999999999999;0.7299999999999998
12.869945109777603;0.6099999999999999;0.7299999999999998
13.069945109781969;0.6099999999999999;0.72
13.269945109779059;0.6199999999999999;0.72
13.469945109776148;0.6199999999999999;0.72
13.669945109780514;0.6199999999999999;0.72
13.869945109777603;0.6099999999999999;0.72
14.069945109781969;0.6099999999999999;0.72
14.269945109779059;0.6099999999999999;0.72
14.469945109776148;0.6199999999999999;0.72
14.669945109780514;0.6199999999999999;0.72
14.869945109777603;0.6199999999999999;0.72
15.069945109781969;0.6199999999999999;0.72
15.269945109779059;0.6099999999999999;0.72
15.469945109776148;0.6199999999999999;0.7199999999999998
15.669945109780514;0.6199999999999999;0.7199999999999998
15.869945109777603;0.6199999999999999;0.7199999999999998
16.06994510978197;0.6199999999999999;0.7199999999999998
16.26994510977906;0.6199999999999999;0.7199999999999998
16.46994510977615;0.6199999999999999;0.7199999999999998
