Tempo_Amostrado(s);Analise_9_fil_3_amost_erro;Analise_9_fil_3_amost_valor;Analise_9_fil_4_amost_erro;Analise_9_fil_4_amost_valor
0.001;0.004741856925360697;1.520769230769231;0.0036080121229410227;1.5015384615384617
36.0211;0.004882622246293433;1.5204;0.0032496153618544496;1.4688000000000003
72.0412;0.004582575694955796;1.527;0.0023748684174076384;1.4206
108.0613;0.004853864439804609;1.5338000000000005;0.00139999999999997;1.4202
144.0814;0.004963869458396323;1.5256000000000003;0.0034698703145794206;1.4213999999999998
180.1015;0.005660388679233969;1.4914;0.0034698703145794206;1.4213999999999998
216.1216;0.005617828762075244;1.5062;0.004999999999999982;1.425
252.1417;0.004882622246293473;1.5104;0.004915282290977834;1.4228
288.1618;0.006403124237432927;1.527;0.004737087712930839;1.4234
324.1819;0.005291502622129137;1.5320000000000005;0.0034698703145794206;1.4613999999999998
360.202;0.0048207883172775344;1.5326000000000004;0.001400000000000001;1.4698000000000002
396.2221;0.005385164807134414;1.5350000000000006;0.0049839743177507384;1.4646000000000001
432.2422;0.004935585071701131;1.5342000000000005;0.0052915026221291355;1.4760000000000002
468.2623;0.004799999999999897;1.5364000000000002;0.004898979485566364;1.5040000000000004
504.2825;0.003249615361854458;1.5412000000000003;0.005351635264103889;1.5044
540.3026;0.007102112361825967;1.5434000000000003;0.006838128398911575;1.5018
576.3227;0.004123105625617651;1.5590000000000004;0.004686149805544045;1.5002000000000002
612.3428;0.00558927544499283;1.5674000000000001;0.0048000000000000065;1.5036000000000005
648.3629;0.006437390775772372;1.5716000000000003;0.0058685603004485195;1.5034000000000003
684.383;0.00574456264653807;1.577;0.005249761899362717;1.5038000000000002
720.4031;0.005528109984434181;1.5788000000000002;0.0043863424398922655;1.5026000000000004
756.4232;0.005385164807134418;1.585;0.0034698703145794973;1.5014
792.4433;0.004983974317750744;1.5945999999999998;0.004800000000000004;1.5036000000000005
828.4634;0.004489988864128833;1.6028;0.0027129319932501094;1.5008000000000004
864.4835;0.005381449618829394;1.6152000000000002;0.005617828762075225;1.5038000000000002
900.5036;0.006660330322138743;1.6258000000000004;0.00427083130081256;1.5124000000000002
936.5237;0.004737087712930796;1.6366000000000003;0.003249615361854351;1.5212
972.5438;0.006352952069707377;1.6442000000000005;0.003249615361854315;1.5212
1008.5639;0.004963869458396454;1.6543999999999999;2.220446049250313e-16;1.52
1044.584;0.007054076835419301;1.6668;0.0043863424398922655;1.5174
1080.6041;0.006079473661428233;1.6748000000000003;0.0050000000000000044;1.515
1116.6242;0.004176122603564304;1.6884000000000001;0.004737087712930796;1.5366
1152.6443;0.0039191835884530716;1.6992000000000003;0.006660330322138789;1.5358000000000005
1188.6644;0.0069999999999999256;1.7109999999999999;0.004853864439804534;1.5462
1224.6845;0.005306599664568597;1.7228000000000003;0.004476605857119958;1.5514000000000001
1260.7046;0.005141984052873084;1.7365999999999997;0.004142463035441599;1.5522000000000002
1296.7247;0.007031358332498809;1.7484;2.220446049250313e-16;1.5600000000000003
1332.7448;0.005895761189193393;1.7582000000000004;0.0038418745424597125;1.5681999999999996
