Tempo(s);$\Delta P_{12}$_fil_1;$\Delta P_{12}$_amost_fil_1;$\Delta P_{12}$_amost_fil_2;$\Delta P_{12}$_fil_3
0.09488515822098975;1.2000000000000002;1.2000000000000002;1.28;1.51
0.29488515821807937;1.2000000000000002;1.2153999999999998;1.2836;1.4999999999999998
0.49488515822244494;1.2000000000000002;1.2496;1.2830000000000001;1.4999999999999998
0.6948851582195346;1.2000000000000002;1.2578;1.2848000000000002;1.4999999999999998
0.8948851582166242;1.2000000000000002;1.278;1.2818000000000003;1.4999999999999998
1.0948851582209898;1.2000000000000002;1.3527999999999998;1.2816;1.49
1.2948851582180794;1.2000000000000002;1.3521999999999996;1.2824;1.49
1.494885158222445;1.2000000000000002;1.3503999999999996;1.2808;1.49
1.6948851582195346;1.2000000000000002;1.3449999999999998;1.2828;1.48
1.8948851582166242;1.2000000000000002;1.3447999999999996;1.2818;1.48
2.0948851582209898;1.2000000000000002;1.3406;1.2818;1.48
2.2948851582180794;1.2000000000000002;1.3292;1.2776000000000003;1.4899999999999998
2.494885158222445;1.2000000000000002;1.3294;1.2732;1.4899999999999998
2.6948851582195346;1.2000000000000002;1.3359999999999999;1.2664;1.5
2.894885158216624;1.2000000000000002;1.3493999999999997;1.2596;1.5
3.0948851582209898;1.2000000000000002;1.3603999999999996;1.2422000000000002;1.5
3.2948851582180794;1.2000000000000002;1.3803999999999996;1.2414;1.5
3.494885158222445;1.2000000000000002;1.3883999999999994;1.2298000000000002;1.51
3.6948851582195346;1.2000000000000002;1.3742;1.22;1.4999999999999998
3.894885158216624;1.2000000000000002;1.3602000000000003;1.2086000000000001;1.4999999999999998
4.09488515822099;1.2000000000000002;1.3454000000000002;1.2002000000000002;1.4999999999999998
4.294885158218079;1.2000000000000002;1.3248000000000002;1.1925999999999999;1.4999999999999998
4.494885158222445;1.2000000000000002;1.3040000000000003;1.184;1.49
4.694885158219535;1.2000000000000002;1.2860000000000003;1.1696;1.49
4.894885158216624;1.2000000000000002;1.25;1.1571999999999998;1.49
5.09488515822099;1.2000000000000002;1.2448000000000001;1.1468;1.49
5.294885158218079;1.2000000000000002;1.23;1.1380000000000003;1.4899999999999998
5.494885158222445;1.2000000000000002;1.2090000000000003;1.1275999999999997;1.4899999999999998
5.694885158219535;1.2000000000000002;1.194;1.1156;1.4899999999999998
5.894885158216624;1.2000000000000002;1.1804000000000001;1.109;1.5
6.09488515822099;1.2000000000000002;1.1631999999999998;1.1024000000000003;1.5
6.294885158218079;1.2000000000000002;1.1523999999999999;1.0897999999999999;1.5
6.494885158222445;1.2000000000000002;1.1402000000000003;1.0798;1.51
6.694885158219535;1.2000000000000002;1.1300000000000001;1.0734000000000001;1.5
6.894885158216624;1.2000000000000002;1.123;1.061;1.4999999999999998
7.09488515822099;1.2000000000000002;1.1097999999999997;1.0565999999999998;1.4999999999999998
7.294885158218079;1.2000000000000002;1.1054;1.0483999999999998;1.4999999999999998
7.494885158222445;1.2000000000000002;1.0956000000000001;1.0415999999999999;1.49
7.694885158219535;1.2000000000000002;1.094;1.0358;1.49
7.894885158216624;1.2000000000000002;1.089;1.036;1.49
8.09488515822099;1.2000000000000002;1.0885999999999998;1.0201999999999998;1.49
8.29488515821808;1.2000000000000002;1.0866;1.0151999999999999;1.4899999999999998
8.494885158222445;1.2000000000000002;1.0894;1.0121999999999998;1.4899999999999998
8.694885158219535;1.2000000000000002;1.0892000000000002;1.0073999999999999;1.4899999999999998
8.894885158216624;1.2000000000000002;1.0951999999999997;0.9990000000000001;1.5
9.09488515822099;1.2000000000000002;1.0963999999999998;0.9952000000000002;1.5
9.29488515821808;1.2000000000000002;1.103;0.9900000000000001;1.51
9.494885158222445;1.2000000000000002;1.1067999999999998;0.9900000000000001;1.51
9.694885158219535;1.2000000000000002;1.1157142857142857;0.9894000000000002;1.51
9.894885158216624;1.2000000000000002;1.12;0.9828;1.51
10.09488515822099;1.2000000000000002;1.1272;0.9812000000000001;1.51
10.29488515821808;1.2000000000000002;1.1403999999999999;0.9753999999999998;1.4999999999999998
